,player,nation,position,team,formation,team_shots_per_game,team_possession,team_pass,team_aerials_won,league,age,matches,starts,minutes,goals,assists,goals_assists,penalty_goals,yellow_cards,red_cards,expected_goals,expected_assists,progressive_carries,progressive_passes,progressive_runs,goals_90min,assists_90min,goals_assists_90min
2411,Marcos Senesi,ar ARG,Defender,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,26,31,26,2242,4,5,9,0,13,0,2.0,1.7,31.0,127.0,4.0,0.16,0.2,0.36
2412,Stefano Sensi,it ITA,Midfielder,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,27,4,0,46,0,1,1,0,0,0,0.1,0.1,3.0,3.0,4.0,0.0,1.96,1.96
2413,Suat Serdar,de GER,Midfielder,Hellas Verona,3-4-3,10.6,49.6,76.3,20.6,it Serie A,26,25,19,1659,0,2,2,0,7,0,1.0,1.4,20.0,68.0,36.0,0.0,0.11,0.11
2414,Benjamin Šeško,si SVN,Forward,RB Leipzig,3-4-3,16.0,57.3,83.2,18.6,de Bundesliga,20,31,17,1526,14,2,16,0,0,0,7.7,1.1,21.0,22.0,98.0,0.83,0.12,0.94
2415,Kevin Sessa,de GER,Midfielder,Heidenheim,4-4-2,6.0,42.5,76.3,17.0,de Bundesliga,23,30,7,1011,3,0,3,0,1,0,2.9,1.3,29.0,51.0,48.0,0.27,0.0,0.27
2416,Aaron Seydel,de GER,Forward,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,27,16,5,619,1,0,1,0,1,0,1.0,0.7,7.0,10.0,35.0,0.15,0.0,0.15
2417,Andres Sfait,ro ROU,Defender,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,18,2,0,23,0,0,0,0,0,0,0.0,0.1,1.0,1.0,2.0,0.0,0.0,0.0
2418,Stephan El Shaarawy,it ITA,Forward,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,30,33,19,1738,3,4,7,0,2,0,2.5,2.3,46.0,44.0,131.0,0.16,0.21,0.36
2419,Luke Shaw,eng ENG,Defender,Manchester United,4-2-3-1,13.8,54.5,84.8,14.5,eng Premier League,28,12,12,959,0,0,0,0,6,0,0.0,1.0,10.0,45.0,30.0,0.0,0.0,0.0
2420,James Shea,eng ENG,Goalkeeper,Luton Town,4-2-3-1,11.4,45.6,78.1,15.6,eng Premier League,32,1,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2421,Eldor Shomurodov,uz UZB,Forward,Cagliari,3-5-2,11.4,45.8,79.8,17.2,it Serie A,28,22,10,936,3,3,6,0,1,0,3.5,1.7,12.0,18.0,52.0,0.29,0.29,0.58
2422,Steven Shpendi,al ALB,Forward,Empoli,3-5-2,9.1,47.1,75.7,14.1,it Serie A,20,12,4,411,0,1,1,0,0,0,0.4,0.5,3.0,6.0,32.0,0.0,0.22,0.22
2423,Sofiane Sidi Ali,fr FRA,Midfielder,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,28,2,0,18,0,0,0,0,0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
2424,Vincent Sierro,ch SUI,Midfielder,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,27,30,25,2261,6,2,8,4,8,0,5.9,2.3,17.0,135.0,73.0,0.24,0.08,0.32
2425,Tim Siersleben,de GER,Defender,Heidenheim,4-4-2,6.0,42.5,76.3,17.0,de Bundesliga,23,14,10,910,0,0,0,0,1,0,0.2,0.5,12.0,48.0,1.0,0.0,0.0,0.0
2426,Kiliann Sildillia,fr FRA,Defender,Freiburg,3-4-3,11.4,47.5,78.1,17.5,de Bundesliga,21,27,20,1806,0,1,1,0,2,1,0.6,0.8,22.0,70.0,58.0,0.0,0.05,0.05
2427,André Silva,pt POR,Forward,Real Sociedad,4-3-3,11.3,53.7,80.8,17.9,es La Liga,27,19,9,729,3,0,3,1,1,0,3.3,0.3,5.0,7.0,44.0,0.37,0.0,0.37
2428,Bernardo Silva,pt POR,Midfielder,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,28,33,29,2578,6,9,15,0,8,0,3.7,7.6,140.0,177.0,260.0,0.21,0.31,0.52
2429,Caio Henrique Oliveira Silva,br BRA,Defender,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,26,9,7,623,0,5,5,0,0,0,0.2,1.3,16.0,33.0,54.0,0.0,0.72,0.72
2430,Fábio Silva,pt POR,Forward,Wolverhampton Wanderers,3-4-3,12.2,49.7,83.2,15.3,eng Premier League,21,8,3,264,0,0,0,0,2,0,1.0,0.2,5.0,10.0,13.0,0.0,0.0,0.0
2431,Rui Silva,pt POR,Goalkeeper,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,29,28,28,2475,0,0,0,0,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2432,Thiago Silva,br BRA,Defender,Chelsea,3-4-3,14.6,58.6,87.0,15.2,eng Premier League,38,31,28,2527,3,1,4,0,4,0,0.8,1.0,2.0,102.0,5.0,0.11,0.04,0.14
2433,Marco Silvestri,it ITA,Goalkeeper,Udinese,3-5-2,10.9,47.2,82.5,13.1,it Serie A,32,17,17,1530,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434,Mohamed Simakan,fr FRA,Defender,RB Leipzig,3-4-3,16.0,57.3,83.2,18.6,de Bundesliga,23,32,23,2138,2,3,5,0,8,0,3.9,3.3,34.0,106.0,76.0,0.08,0.13,0.21
2435,Giovanni Simeone,ar ARG,Forward,Napoli,4-3-3,17.0,54.1,87.0,11.1,it Serie A,28,28,8,800,1,0,1,0,3,0,3.4,0.6,11.0,13.0,76.0,0.11,0.0,0.11
2436,Giuliano Simeone,ar ARG,Forward,Deportivo Alaves,4-4-2,9.1,44.6,72.9,22.6,es La Liga,20,14,6,630,1,2,3,0,1,0,2.4,2.0,25.0,24.0,47.0,0.14,0.29,0.43
2437,Jan-Carlo Simic,rs SRB,Defender,AC Milan,4-2-3-1,14.7,51.4,84.0,15.2,it Serie A,18,4,0,146,1,0,1,0,0,0,0.6,0.0,0.0,6.0,0.0,0.62,0.0,0.62
2438,Moses Simon,ng NGA,Forward,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,28,22,21,1788,3,5,8,1,0,0,4.1,3.7,146.0,36.0,214.0,0.15,0.25,0.4
2439,Unai Simón,es ESP,Goalkeeper,Athletic Bilbao,4-4-2,10.6,49.4,78.5,17.9,es La Liga,26,36,36,3182,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440,Xavi Simons,nl NED,Midfielder,RB Leipzig,3-4-3,16.0,57.3,83.2,18.6,de Bundesliga,20,32,32,2653,8,11,19,1,11,1,8.3,9.8,151.0,187.0,216.0,0.27,0.37,0.64
2441,Wilfried Singo,ci CIV,Defender,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,22,25,24,2187,1,1,2,0,8,1,0.8,1.0,38.0,145.0,31.0,0.04,0.04,0.08
2442,Luis Sinisterra,co COL,Forward,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,24,20,7,699,2,2,4,0,0,0,2.5,2.4,51.0,38.0,85.0,0.26,0.26,0.52
2443,Daley Sinkgraven,nl NED,Defender,Las Palmas,4-4-2,7.0,52.1,82.2,13.5,es La Liga,28,11,6,388,0,0,0,0,0,1,0.0,0.0,3.0,17.0,8.0,0.0,0.0,0.0
2444,Jailson Siqueira,br BRA,Defender,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,27,14,9,897,0,1,1,0,1,0,0.2,0.5,16.0,38.0,8.0,0.0,0.1,0.1
2445,Ayanda Sishuba,be BEL,Midfielder,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,18,7,0,62,0,0,0,0,0,0,0.9,0.0,7.0,1.0,10.0,0.0,0.0,0.0
2446,Ibrahima Sissoko,ml MLI,Midfielder,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,25,27,18,1642,0,1,1,0,7,0,1.0,1.7,15.0,88.0,18.0,0.0,0.05,0.05
2447,Moussa Sissoko,fr FRA,Midfielder,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,33,26,21,1821,0,0,0,0,7,0,1.3,1.1,30.0,74.0,59.0,0.0,0.0,0.0
2448,Antonio Sivera,es ESP,Goalkeeper,Deportivo Alaves,4-4-2,9.1,44.6,72.9,22.6,es La Liga,26,34,34,3060,0,0,0,0,3,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2449,Tim Skarke,de GER,Forward,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,26,30,29,2404,8,0,8,0,7,0,3.6,2.1,61.0,80.0,190.0,0.3,0.0,0.3
2450,Ellyes Skhiri,tn TUN,Midfielder,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,28,27,24,2168,2,2,4,0,1,0,2.3,1.0,10.0,110.0,28.0,0.08,0.08,0.17
2451,Oliver Skipp,eng ENG,Midfielder,Tottenham,3-4-2-1,11.7,51.3,81.8,16.4,eng Premier League,22,21,5,707,0,0,0,0,3,0,0.7,0.6,8.0,37.0,25.0,0.0,0.0,0.0
2452,Leo Skiri Østigård,no NOR,Defender,Napoli,4-3-3,17.0,54.1,87.0,11.1,it Serie A,23,25,18,1625,1,0,1,0,3,0,0.6,0.1,13.0,76.0,3.0,0.06,0.0,0.06
2453,Łukasz Skorupski,pl POL,Goalkeeper,Bologna,4-2-3-1,13.1,50.7,81.5,15.1,it Serie A,32,32,32,2880,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2454,Robert Skov,dk DEN,Defender,Hoffenheim,3-5-2,12.6,50.8,80.7,15.7,de Bundesliga,27,25,14,1260,3,4,7,0,2,0,1.8,1.9,28.0,71.0,92.0,0.21,0.29,0.5
2455,Milan Škriniar,sk SVK,Defender,Paris Saint-Germain,4-3-3,15.0,60.1,89.5,9.5,fr Ligue 1,28,24,17,1629,0,0,0,0,1,0,0.2,0.1,5.0,61.0,1.0,0.0,0.0,0.0
2456,Naatan Skyttä,fi FIN,Midfielder,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,21,8,0,120,0,0,0,0,0,0,0.5,0.6,1.0,12.0,12.0,0.0,0.0,0.0
2457,Chris Smalling,eng ENG,Defender,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,33,8,4,390,0,0,0,0,0,0,0.0,0.4,1.0,13.0,2.0,0.0,0.0,0.0
2458,Adam Smith,eng ENG,Defender,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,32,28,25,2150,0,2,2,0,6,0,0.1,1.3,24.0,89.0,28.0,0.0,0.08,0.08
2459,Emile Smith Rowe,eng ENG,Midfielder,Arsenal,4-2-3-1,12.1,52.7,85.0,13.5,eng Premier League,23,13,3,353,0,1,1,0,0,0,2.0,0.2,11.0,23.0,18.0,0.0,0.25,0.25
2460,Hrvoje Smolčić,hr CRO,Defender,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,22,11,3,347,1,0,1,0,0,0,1.0,0.0,0.0,14.0,0.0,0.26,0.0,0.26
2461,Cédric Soares,pt POR,Defender,Arsenal,4-2-3-1,12.1,52.7,85.0,13.5,eng Premier League,31,3,0,62,0,0,0,0,0,0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0
2462,Danilo Soares,br BRA,Defender,Bochum,4-4-2,7.0,41.8,73.4,20.4,de Bundesliga,31,5,3,351,0,0,0,0,0,0,0.0,0.1,3.0,15.0,8.0,0.0,0.0,0.0
2463,Eduard Sobol,ua UKR,Defender,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,28,3,0,25,0,0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2464,Rubén Sobrino,es ESP,Midfielder,Cadiz,4-4-2,8.0,38.5,68.8,18.5,es La Liga,31,32,18,1646,0,1,1,0,8,1,1.8,2.3,27.0,34.0,78.0,0.0,0.05,0.05
2465,Andrea Sodero,it ITA,Midfielder,Empoli,3-5-2,9.1,47.1,75.7,14.1,it Serie A,18,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2466,Emran Soglo,eng ENG,Midfielder,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,18,3,1,109,1,1,2,0,1,0,0.1,0.2,1.0,3.0,8.0,0.83,0.83,1.65
2468,Alex Sola,es ESP,Defender,Real Sociedad,4-3-3,11.3,53.7,80.8,17.9,es La Liga,24,2,0,30,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2469,Dominic Solanke,eng ENG,Forward,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,25,38,37,3325,19,3,22,2,3,0,19.6,3.0,52.0,60.0,184.0,0.51,0.08,0.6
2470,Ola Solbakken,no NOR,Forward,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,24,1,0,23,0,0,0,0,0,0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
2471,Carlos Soler,es ESP,Midfielder,Paris Saint-Germain,4-3-3,15.0,60.1,89.5,9.5,fr Ligue 1,26,24,12,1090,2,2,4,0,1,0,1.5,2.4,15.0,74.0,59.0,0.17,0.17,0.33
2472,Jhon Solis,co COL,Midfielder,Girona,3-5-2,6.8,58.9,88.7,8.6,es La Liga,18,18,2,384,0,0,0,0,0,0,1.0,0.3,9.0,22.0,13.0,0.0,0.0,0.0
2473,Manor Solomon,il ISR,Forward,Tottenham,3-4-2-1,11.7,51.3,81.8,16.4,eng Premier League,24,5,2,199,0,2,2,0,1,0,0.4,0.8,17.0,11.0,44.0,0.0,0.9,0.9
2474,Daniele Sommariva,it ITA,Goalkeeper,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,26,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2475,Yann Sommer,ch SUI,Goalkeeper,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,34,34,34,3060,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2476,Brandon Soppy,fr FRA,Defender,Torino,3-4-2-1,12.2,48.0,80.5,16.1,it Serie A,21,5,2,178,0,0,0,0,0,0,0.0,0.1,9.0,6.0,3.0,0.0,0.0,0.0
2477,David Soria,es ESP,Goalkeeper,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,30,38,38,3413,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2478,Alberto Soro,es ESP,Midfielder,Granada,4-3-3,9.4,43.4,70.0,18.3,es La Liga,24,1,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,Alessandro Sorrentino,it ITA,Goalkeeper,Monza,3-4-2-1,10.1,47.4,82.4,18.1,it Serie A,21,7,5,548,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,Borna Sosa,hr CRO,Forward,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,25,2,0,46,0,0,0,0,0,0,0.0,0.3,5.0,2.0,10.0,0.0,0.0,0.0
2481,Hugo Sotelo,es ESP,Midfielder,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,19,17,8,721,0,1,1,0,1,0,0.3,1.6,16.0,55.0,13.0,0.0,0.12,0.12
2482,Florian Sotoca,fr FRA,Midfielder,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,32,32,29,2598,7,6,13,4,4,1,9.1,6.5,56.0,156.0,253.0,0.24,0.21,0.45
2483,Riccardo Sottil,it ITA,Forward,Fiorentina,4-3-3,9.8,46.8,81.0,14.2,it Serie A,24,22,13,1103,2,3,5,0,1,0,2.6,2.5,66.0,33.0,139.0,0.16,0.24,0.41
2484,Tomáš Souček,cz CZE,Midfielder,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,28,37,34,2870,7,2,9,0,7,0,6.7,1.7,7.0,86.0,39.0,0.22,0.06,0.28
2485,Matìas Soulé,ar ARG,Forward,Frosinone,3-5-2,11.1,40.0,75.7,14.1,it Serie A,20,36,36,3121,11,3,14,5,4,0,10.5,6.6,115.0,198.0,211.0,0.32,0.09,0.4
2486,Boubakary Soumaré,fr FRA,Midfielder,Sevilla,4-3-3,12.1,58.7,86.2,16.6,es La Liga,24,28,26,2286,0,1,1,0,10,0,0.0,0.9,29.0,102.0,22.0,0.0,0.04,0.04
2487,Issa Soumaré,sn SEN,Forward,Le Havre,3-5-2,7.1,41.7,81.0,12.8,fr Ligue 1,22,7,3,237,0,0,0,0,0,0,0.4,0.6,4.0,4.0,18.0,0.0,0.0,0.0
2488,Vinicius Souza,br BRA,Midfielder,Sheffield United,4-2-3-1,8.5,43.0,76.9,19.1,eng Premier League,24,36,29,2668,1,0,1,0,3,0,0.6,0.2,7.0,66.0,21.0,0.03,0.0,0.03
2489,Djibril Sow,ch SUI,Midfielder,Sevilla,4-3-3,12.1,58.7,86.2,16.6,es La Liga,26,24,18,1460,1,1,2,0,6,0,1.5,0.8,25.0,73.0,45.0,0.06,0.06,0.12
2490,Saidou Sow,gn GUI,Defender,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,21,10,8,719,0,1,1,0,2,0,0.3,0.5,1.0,24.0,0.0,0.0,0.13,0.13
2491,Çağlar Söyüncü,tr TUR,Defender,Atletico Madrid,5-3-2,12.1,51.8,83.1,14.4,es La Liga,27,6,1,114,0,0,0,0,0,1,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
2492,Djed Spence,eng ENG,Defender,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,22,16,8,859,0,0,0,0,1,0,0.2,0.3,17.0,25.0,31.0,0.0,0.0,0.0
2494,Stijn Spierings,nl NED,Midfielder,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,27,4,1,118,0,0,0,0,2,0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0
2495,Leonardo Spinazzola,it ITA,Defender,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,30,24,15,1312,1,2,3,0,0,0,0.2,3.0,108.0,52.0,74.0,0.07,0.14,0.21
2496,Marco Sportiello,it ITA,Goalkeeper,AC Milan,4-2-3-1,14.7,51.4,84.0,15.2,it Serie A,31,7,7,630,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2498,Anton Stach,de GER,Midfielder,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,24,2,2,170,0,0,0,0,0,0,0.2,0.1,3.0,8.0,10.0,0.0,0.0,0.0
2499,Jens Stage,dk DEN,Midfielder,Werder Bremen,3-5-2,10.6,45.2,76.2,18.3,de Bundesliga,26,30,26,2327,3,1,4,0,5,1,4.4,1.9,24.0,85.0,60.0,0.12,0.04,0.15
2500,Benjamin Stambouli,fr FRA,Midfielder,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,32,7,3,286,0,1,1,0,4,0,0.1,0.1,2.0,8.0,2.0,0.0,0.31,0.31
2501,Josip Stanišić,hr CRO,Defender,Bayer Leverkusen,4-2-3-1,13.0,57.3,84.4,13.1,de Bundesliga,23,20,13,1261,3,1,4,0,3,0,0.8,1.7,49.0,92.0,63.0,0.21,0.07,0.29
2502,Carl Starfelt,se SWE,Defender,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,28,27,26,2216,1,0,1,0,4,0,1.4,0.2,5.0,38.0,1.0,0.04,0.0,0.04
2503,Niklas Stark,de GER,Defender,Werder Bremen,3-5-2,10.6,45.2,76.2,18.3,de Bundesliga,28,17,12,1088,2,0,2,0,4,0,0.2,0.0,5.0,37.0,1.0,0.17,0.0,0.17
2504,Jason Steele,eng ENG,Goalkeeper,Brighton,3-4-3,12.8,50.7,81.3,14.2,eng Premier League,32,17,17,1530,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2505,Pascal Stenzel,de GER,Defender,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,27,23,14,1064,0,5,5,0,3,1,0.3,3.2,34.0,85.0,46.0,0.0,0.42,0.42
2506,Leonidas Stergiou,ch SUI,Defender,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,21,15,6,594,1,0,1,0,0,0,0.4,0.4,6.0,17.0,22.0,0.15,0.0,0.15
2507,Raheem Sterling,eng ENG,Forward,Chelsea,3-4-3,14.6,58.6,87.0,15.2,eng Premier League,28,31,22,1978,8,4,12,0,7,0,6.5,4.5,120.0,78.0,242.0,0.36,0.18,0.55
2508,Trivante Stewart,jm JAM,Forward,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,23,4,0,100,0,0,0,0,0,0,0.1,0.1,2.0,0.0,6.0,0.0,0.0,0.0
2510,Angelo Stiller,de GER,Midfielder,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,22,31,30,2694,1,5,6,0,5,0,1.6,5.1,37.0,220.0,71.0,0.03,0.17,0.2
2511,Kevin Stöger,at AUT,Midfielder,Bochum,4-4-2,7.0,41.8,73.4,20.4,de Bundesliga,29,32,32,2668,7,10,17,4,8,0,6.2,9.9,81.0,283.0,139.0,0.24,0.34,0.57
2512,Filip Stojilković,ch SUI,Forward,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,23,6,0,154,0,0,0,0,1,0,0.2,0.0,4.0,3.0,10.0,0.0,0.0,0.0
2513,John Stones,eng ENG,Defender,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,29,16,12,1064,1,0,1,0,2,0,1.0,0.2,16.0,57.0,24.0,0.08,0.0,0.08
2514,Thomas Strakosha,al ALB,Goalkeeper,Brentford,4-3-3,7.1,47.3,81.3,16.6,eng Premier League,28,2,1,135,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2515,Jørgen Strand Larsen,no NOR,Forward,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,23,37,36,2863,13,3,16,0,5,0,14.5,2.5,33.0,25.0,183.0,0.41,0.09,0.5
2516,Gabriel Strefezza,br BRA,Forward,Lecce,4-3-3,9.7,43.7,79.9,16.8,it Serie A,26,19,13,1112,1,0,1,1,4,0,2.5,1.2,34.0,54.0,81.0,0.08,0.0,0.08
2517,Kevin Strootman,nl NED,Midfielder,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,33,27,15,1207,0,2,2,0,4,0,0.1,1.3,13.0,61.0,22.0,0.0,0.15,0.15
2518,Cristhian Stuani,uy URU,Forward,Girona,3-5-2,6.8,58.9,88.7,8.6,es La Liga,36,31,5,804,9,3,12,0,6,0,9.6,1.9,3.0,5.0,24.0,1.01,0.34,1.34
2519,Álex Suárez,es ESP,Defender,Las Palmas,4-4-2,7.0,52.1,82.2,13.5,es La Liga,30,32,30,2562,2,0,2,0,7,0,1.2,0.2,12.0,109.0,15.0,0.07,0.0,0.07
2520,Damián Suárez,uy URU,Defender,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,35,16,15,1299,0,2,2,0,7,1,0.3,0.8,20.0,58.0,47.0,0.0,0.14,0.14
2521,Denis Suárez,es ESP,Midfielder,Villarreal,4-4-2,10.7,54.3,84.4,13.0,es La Liga,29,4,1,133,0,0,0,0,0,0,0.1,0.3,4.0,13.0,7.0,0.0,0.0,0.0
2522,Gabriel Suazo,cl CHI,Defender,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,25,31,27,2357,0,4,4,0,5,0,0.7,3.0,44.0,114.0,166.0,0.0,0.15,0.15
2523,Isaac Success,ng NGA,Forward,Udinese,3-5-2,10.9,47.2,82.5,13.1,it Serie A,27,27,9,880,1,1,2,0,4,0,2.7,1.1,15.0,17.0,51.0,0.1,0.1,0.2
2524,Niklas Süle,de GER,Defender,Borussia Dortmund,4-2-3-1,14.6,57.5,85.5,12.8,de Bundesliga,27,23,14,1514,1,0,1,0,0,0,0.4,0.2,19.0,83.0,9.0,0.06,0.0,0.06
2525,Ibrahim Sulemana,gh GHA,Midfielder,Cagliari,3-5-2,11.4,45.8,79.8,17.2,it Serie A,20,21,16,1339,2,0,2,0,4,0,0.8,0.1,15.0,27.0,14.0,0.13,0.0,0.13
2526,Tomáš Suslov,sk SVK,Midfielder,Hellas Verona,3-4-3,10.6,49.6,76.3,20.6,it Serie A,21,32,23,2092,3,5,8,1,7,0,3.5,3.6,46.0,64.0,74.0,0.13,0.22,0.34
2527,Suso,es ESP,Midfielder,Sevilla,4-3-3,12.1,58.7,86.2,16.6,es La Liga,29,29,15,1517,1,4,5,0,5,1,1.4,3.9,41.0,110.0,109.0,0.06,0.24,0.3
2528,Mattias Svanberg,se SWE,Midfielder,Wolfsburg,4-2-3-1,14.1,51.0,78.0,16.9,de Bundesliga,24,25,20,1715,1,3,4,0,8,0,3.0,2.3,28.0,84.0,52.0,0.05,0.16,0.21
2529,Max Svensson,es ESP,Forward,Osasuna,4-4-2,9.8,44.6,70.2,26.8,es La Liga,23,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2530,Mile Svilar,rs SRB,Goalkeeper,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,23,15,15,1350,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2531,Williot Swedberg,se SWE,Forward,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,19,15,4,439,5,0,5,0,1,0,2.3,0.2,7.0,6.0,26.0,1.03,0.0,1.03
2532,Karol Świderski,pl POL,Forward,Hellas Verona,3-4-3,10.6,49.6,76.3,20.6,it Serie A,26,15,3,504,2,0,2,0,0,0,1.7,0.4,3.0,13.0,19.0,0.36,0.0,0.36
2533,Abakar Sylla,ci CIV,Defender,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,20,22,19,1792,2,0,2,0,4,0,1.6,0.5,8.0,72.0,2.0,0.1,0.0,0.1
2534,Dembo Sylla,gn GUI,Defender,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,20,1,0,45,0,0,0,0,0,0,0.1,0.0,0.0,1.0,6.0,0.0,0.0,0.0
2535,Issiaga Sylla,gn GUI,Defender,Montpellier,4-3-3,12.2,46.4,78.8,17.9,fr Ligue 1,29,19,17,1455,1,2,3,0,3,0,1.4,1.7,29.0,43.0,51.0,0.06,0.12,0.19
2536,Mamadou Sylla,sn SEN,Forward,Deportivo Alaves,4-4-2,9.1,44.6,72.9,22.6,es La Liga,29,2,0,18,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2538,Attila Szalai,hu HUN,Defender,Freiburg,3-4-3,11.4,47.5,78.1,17.5,de Bundesliga,25,3,0,103,0,0,0,0,0,0,0.0,0.1,1.0,5.0,0.0,0.0,0.0,0.0
2539,Wojciech Szczęsny,pl POL,Goalkeeper,Juventus,3-5-2,15.7,55.4,88.3,11.4,it Serie A,33,35,35,3150,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
